location,date,thanks,text
"Barberton, OH","Oct. 13, 2025 Was with them for 4 years. Went to a different carrier for 3 days. 1 to Port back and I have been going around and around with T",13,Was with them for 4 years. Went to a different carrier for 3 days. 1 to Port back and I have been going around and around with T-Mobile for over a week. Customer service reps don't know what they're talking about. One tells me one thing. Another tells me another. Supervisor tells me one thing and then somebody tells me another!!!!
"Chicago, IL","Oct. 13, 2025 Terrible billing. Switched from Verizon with 3 lines, got bonus just for 1, was told, because traded old phones with cracked screens. And on 2 new phones getting lower rebates, even got lower trade credits. Cheating all day long. Thanks for your vote",13,"Terrible billing. Switched from Verizon with 3 lines, got bonus just for 1, was told, because traded old phones with cracked screens. And on 2 new phones getting lower rebates, even got lower trade credits. Cheating all day long."
"Irvington, NY","Oct. 12, 2025 The worst service ever. T Mobile ruin my credit score. T Mobile has a bad customer service. T Mobile provide my phone number to scammers to used my credit card. The scam phone call don",12,The worst service ever. T Mobile ruin my credit score. T Mobile has a bad customer service. T Mobile provide my phone number to scammers to used my credit card. The scam phone call don’t stop plus my phone is not working in my house.
"Providence, RI","Oct. 12, 2025 The worst customer service ever. I stayed on the phone for three hours and was getting hung up on. Now I see why everybody else goes elsewhere because it",12,The worst customer service ever. I stayed on the phone for three hours and was getting hung up on. Now I see why everybody else goes elsewhere because it's always a problem with them. I supposedly spoke to a manager that just pacified the situation. Why would I burn my gas going to a store when I'm supposed to be able to use my phone and get this matter resolved. Horrible customer service.
"Vacaville, CA","Oct. 12, 2025 Do yourself a favor and stay away from T",12,"Do yourself a favor and stay away from T-Mobile. They charge you for shipping fees. When they shouldn't, they open up extra accounts without your permission. They refuse to give you your money back. Just stay away."
"Orlando, FL","Oct. 12, 2025 I",12,I’ve spent 2 hours trying to return a piece of equipment that I found at work. It’s brand new. Their customer service is trash! So today I learned why I never have and never will have T-Mobile Service.
"Philadelphia, PA",10/12/2025 0:00,12,"📞⭐☆☆☆☆ — “T-Mobile: Where Logic Goes to Die”. Talking to T-Mobile customer service feels like entering a group chat with confused squirrels. I asked a simple question, got five different answers and a headache. If you enjoy repeating yourself while slowly losing faith in humanity, this is the hotline for you."
"Queens, NY",10/12/2025 0:00,2,"They also lied about their promotions, telling me the hotspot device was free under a deal, but I’ve been billed for it every single month. Their own representatives admit that their paperwork overrides what’s listed on the official T-Mobile website, which is fraudulent and misleading to customers. This company thrives on confusion, hidden fees, and false advertising. If you’re still with T-Mobile — record every conversation, save every bill, and take screenshots of everything. They change their story every time you call, and you’ll need proof when they try to deny what they said. I’ve filed complaints with the FCC and BBB, and I encourage anyone else who’s experienced these issues to do the same. Don’t fall for their so-called “free deals” or “limited-time offers.” Protect yourself and your money. T-Mobile is the definition of corporate deception. Once I leave, I’ll never look back."
"Gwynn Oak, MD","Oct. 12, 2025 I have been a customer with T",12,"I received my items promptly as scheduled. I am now able to safely transfer my data from my old device to my upgraded phone and being confident with my protective accessories. I hope TuniKa B. will have the opportunity to read my review I gave her my word. My I also add that she is a very talented singer; I could hear her faintly while I waited, how pleasant. It was my pleasure to have the opportunity to meet such a lovely young representative of T-Mobile. Thank you so Much! Sheryl D."
"Dallas, TX","Oct. 12, 2025 Tmobile is the crappie service I",12,Tmobile is the crappie service I've ever had in my life. They say better than at&t but that's a lie. I'd go with sprint before chosing them again. They're joke. I drop calls all the time. Heck boost mobile is probably better.
LA,"Oct. 12, 2025 Just joined T",12,Just joined T-Mobile a few days ago through spectrum and not pleased with internet connection in rural areas. I travel a lot back in forth to work and other places that is considered rural and I going back to cricket. My connection to the internet with cricket was never to much of a problem. Spectrum convinced me to join them with 0 payment for a year and afterward $30.00 a month. With the service with the internet connection issue it is not worth it to me.
"Mesa, AZ","Oct. 11, 2025 Deceptive ads and online order form runs a hard credit pull as well as misleading you on the down payment. When you call the sales department, they will ignore concerns or questions to get the sale. Stay away",11,"Deceptive ads and online order form runs a hard credit pull as well as misleading you on the down payment. When you call the sales department, they will ignore concerns or questions to get the sale. Stay away!"
"Olympia, WA","Oct. 11, 2025 They overcharged me almost every month. Had issues that they never resolved and the service was much worse than explained. My devices never worked correctly and they couldn",11,They overcharged me almost every month. Had issues that they never resolved and the service was much worse than explained. My devices never worked correctly and they couldn't figure out why. I had over 20 customer service conversations in 6 months of having them and things were still not corrected.
"North Miami Beach, FL","Oct. 11, 2025 We",11,"We've had five lines with T-Mobile for years. The last couple of years, the connection quality has significantly deteriorated, with service dropping out several times a day. We decided to change providers, and then the problems started! They gave us the wrong PIN, then discovered our phones were blocked. And they couldn't unblock them for a week! Every call meant at least an hour of conversation. And yet, no problems were resolved! In the end, they even sent us a bill. When we contacted the service again, they promised a refund. Needless to say, they didn't give us a refund! They're scammers! I don't recommend dealing with them."
"Charlotte, NC","Oct. 11, 2025 We switched to T",11,"We switched to T-Mobile from Verizon a few years ago because they touted excellent customer service. The customer service has been no different than Verizon, up until recently when we used a trade-in feature to get new phones. Apparently they were never received by the company despite being sent back over 2 months ago. I spoke to someone who said that they would honor the trade in value anyway and not to worry about the text that we received that our bill was going up substantially. A month later I received a new bill with late payments and threats of cutting off my phone line because apparently they decided not to change their mind. They then launched an investigation to find the phones which of course they did not. Thus I am responsible for not only an abhorrent amount of money per month, but also apparently late fees. Customer service? What a joke."
"San Jose, CA","Oct. 10, 2025 Be very careful when starting to give them your business. DO NOT TRUST what they tell you, unfortunately there",10,"Be very careful when starting to give them your business. DO NOT TRUST what they tell you, unfortunately there's no real fine print to read prior to binding into something that isn't what you were told or explained. It's a TERRIBLE way to conduct business, and rather than remedy the issue, representatives in person smirk because they know you're either going to spend more money to fix it or just be mad, and their representatives on the phone will mock you and laugh at you for the issue. There should be a Red Star option because 1 is too much for this company and their representatives."
US,"Oct. 10, 2025 First I am 72 and my husband is 77. We take people for their word We live in the country. We had been with US Cellular for years, but since going 5g our reception was bad. Contacted US Cellular and they did a reception test. They admitted that where we were at reception was bad. We decided to check out TMobile. They told us that yes we had good coverage with their service. I had a samsung s10 , was told that they would give me 800 dollars for my phone to upgrade. I said",10,I never looked at my US Cellular bill unless bill too high. I got on TMobile's web page and signed in. They only gave me $40 dollars for my phone. What I would have kept it for $40 dollars. We went in almost everyday for 2 weeks. I got the Samsung S25. I have to turn my phone off then back on when I go into to reset it. My husband's flip phone is bombarded with ads for t mobile. We never were harassed with US cellular. I wish they had these phones that have never done what we were told they would back. My S10 worked fine. I was going to keep it until they said we will trade even. Deceived beyond what we could imagine. Tmobiles t life is annoying. I have complained since May. I just want to be free from a company that started our business relationship with lies
"Denver, CO","Oct. 10, 2025 I was with AT",10,I was with AT/T & dealt with their overbilling for 3 yrs. I switched to T-Mobile which turned out to be WORSE than AT/T. 2 Months into T-Mobile and our phones got suspended due to non-payment but they've NEVER sent the automatic withdrawal to my account. Called the customer and they all sucked. AT/T has the best and outstanding customer service. Had to go to the branch to get our phones turned back on only to suffer anti-virus and malwares so they now have to do a factory reset and must go back to the branch because their IT department personnel also sucks.
"The Bronx, NY","Oct. 10, 2025 Very disappointed with T",10,"Very disappointed with T-Mobile. I have been a customer for over 10 years. I purchased the screen protector warranty for 2 iPhone 16 pro max and every time a screen protector is needed I have to go to several T-Mobile stores and they don’t have none then I have go to another cell phone carrier to purchase the screen protector spending more money that could have been applied to my T-Mobile bill, this is very unacceptable. I don’t recommend T-Mobile to nobody, not even my 95-year-old granddaughter. T-Mobile sucksssssssss."
"Hesperia, CA","Oct. 10, 2025 I am VERY Disappointed in T",10,"I am VERY Disappointed in T-Mobile!!! Before I went out of the country, I confirmed if purchased their International plan for $50.00 I wouldn’t get Roaming charges. I did get charged Roaming!!! Now with a $700.00 Bill!!!! I don’t normally complain or write reviews. I have been with T-Mobile for over 10 years, I just pay my bill. BUT I am very disappointed!!!"
"Hayward, CA","Oct. 10, 2025 Brand new customer. Bottom line their customer service is atrocious",10,Brand new customer. Bottom line their customer service is atrocious!!!! My bill should be $61 dollars and it’s $200. Back and forth with the SO CALLED customer service department and they keep feeding me a line of BS why it’s so high. I called and it’s even worse over the phone. I couldn’t understand a word they said and had to hang up. BACK TO AT&T I GO!!
"Mcgehee, AR","Oct. 9, 2025 My experience was wonderful, calling. I waited probably five minutes to get connected to this nice lady named Z. She helped me with my issue of my billing. She gave me a discount helping my bill. Because my bill was outrageous",9,"My experience was wonderful, calling. I waited probably five minutes to get connected to this nice lady named Z. She helped me with my issue of my billing. She gave me a discount helping my bill. Because my bill was outrageous!!!! Give her ten stars if I could. Girly needs a raise!!! Everything was calm. Everything was dealt with in a professional manner. Very quick, one hundred percent recommend her to anyone else."
"Mount Holly Springs, PA","Oct. 9, 2025 Multiple business lines and two cell phones with T",9,"T-Mobile business customer service required us to visit our local retail store, only to be told retail store could do nothing and sent me back to customer service on the phone. Only the second time in 25 years of business that I've tried to file a Better Business Bureau report, unsuccessful because they don't cover businesses. If you are a small business, beware of T-Mobile. It may be cheaper initially, but trying to get out will cost you. I wish I could convey how awful it's been."
"San Leandro, CA","Oct. 9, 2025 Worst service after they took over Sprint. Outsourced workers, negative treatment when T",9,"Worst service after they took over Sprint. Outsourced workers, negative treatment when T-Mobile makes errors. Liars when it comes to recorded phone calls and only care to make a penny. Getting charged for undisclosed things when you try to change to another company and no accountability taken by T-Mobile."
"Las Vegas, NV","Oct. 9, 2025 My experience with T",9,"This happened for 3 days. By day 4, after being helped, the employee found me a phone at another location, an hour and a half from my home. But by the time it was arranged, the store was closed. On day five, I called first thing in the morning to confirm the phone’s location. I double-checked the address multiple times and was assured it was correct. After driving an hour and waiting another hour and a half in line, I received a call from T-Mobile asking if I was coming to pick up my phone—only to find out I was told the wrong location. The man tells me to drive to the 7th st location and confirmed 3 times when I read back the location. I arrive to the address only to find no store at this location. I call 6 times, no answer and find the store at 7th Ave not St. He finally answers the phone and I’m frustrated by this time and have 15 min till closing, only to be told he was closing and would not see me. I asked if this was a joke, only to be told I was being hostile and he would have me arrested if I showed up at his store. I’m beyond disgusted by the lack of competence and I have spent 5 days without a phone, which has been detrimental to my hair salon business. I was not offered a lender phone once and have spent close to 15 hours or more, and have gotten no phone which was already paid for. Now I’m not sure what to do. I want nothing to do with this company, it’s been the worst experience of my life!"
"Portland, OR","Oct. 9, 2025 Was having trouble getting my Internet to work and a custom service rep named Jet helped me not only solve the problem but also made my day better. He is great employee and another reason I stay with T",9,"Was having trouble getting my Internet to work and a custom service rep named Jet helped me not only solve the problem but also made my day better. He is great employee and another reason I stay with T-Mobile. Thank you, Jet."
"Ogden, UT","Oct. 9, 2025 My experience is very bad, I tried to change from a company to T",9,"My experience is very bad, I tried to change from a company to T-Mobile, three weeks passed and I never had new cell phones, four weeks without cell phones or line and surprise they charged me a month of inactive use, 185 dollars and it was supposed to be 145 dollars for my service, I had to cancel. Thanks T-mobile but I will never have any deal with you again."
"New Castle, DE","Oct. 9, 2025 No choice but to give 1 star. Worst customer service I",9,No choice but to give 1 star. Worst customer service I've dealt with. Send a last bill on 10/2/2025 then 10/3/2025 I receive a collections bill. This I believe was done due to canceling service. You never get to talk to anyone. Waited for calls. Answered to no one. Then sat on phone waiting. Finally had enough and paid as a guest. Service has to be bad if you wait an hour to speak with someone. Do not use this company.
CO,"Oct. 8, 2025 I",8,"I’m been in T-Mobile for 16y ears still using, I’m doing this review when you go to the store. Won’t get anymore help. Either way they will told, ""Go to your account and you find all the info you need,"" or, ""Oh did customer service send you in the store and we cannot help out, we have different store policy, the customer don’t know that we don’t do those in the store. Great. Thank you. Anything else I can help."""
"Bellflower, CA","Oct. 8, 2025 Opened 3 lines and ordered 3 new phones to accompany the switch from verizon. Each phone had massive issues with delivery. This is mainly an underlying issue with UPS BUT TMOBILE USES UPS AND ONCE THEY HAND OVER THE PHONES YOU ARE AT THEIR MERCY. Each phone I ordered had issues with delivery. You don",8,Opened 3 lines and ordered 3 new phones to accompany the switch from verizon. Each phone had massive issues with delivery. This is mainly an underlying issue with UPS BUT TMOBILE USES UPS AND ONCE THEY HAND OVER THE PHONES YOU ARE AT THEIR MERCY. Each phone I ordered had issues with delivery. You don't get the option to pre-sign and none of my phones were given the option to hold at carrier for pickup. I lost two full days of work to wait for a package that never came. Literally the est time frame was 10am - 3pm and it wasn't until 9pm that I was notified it would come tomorrow instead. That happened for EACH phone. I still haven't received the third. IN FACT I called UPS and their support said it's an issue with TMobile. So I call TMobile support and they said it's a UPS problem.
"Lilburn, GA","Oct. 8, 2025 One year ago, we went to the T Mobile Hwy 78, Stone Mountain GA store. A salesman gave me an incredible deal and a free iPhone, when I was ready to sign, he said he had to leave but his friend would take care of closing the deal. We signed and when reviewing the contract, that they sent us following week everything was different. They charged us for the",8,"One year ago, we went to the T Mobile Hwy 78, Stone Mountain GA store. A salesman gave me an incredible deal and a free iPhone, when I was ready to sign, he said he had to leave but his friend would take care of closing the deal. We signed and when reviewing the contract, that they sent us following week everything was different. They charged us for the ""free"" phone. This is called the switch and run fraud. When I called to complain, the manager apologized and offer to receive the phone back, but I already had discarded the old one and had the new one was all set up. Be careful. Bait-and-switch tactic,"
"Akron, OH","Oct. 8, 2025 I needed to go to the store on Harrisburg Pike because my phone was acting crazy and guess what, Miss",8,"I needed to go to the store on Harrisburg Pike because my phone was acting crazy and guess what, Miss **, she got me all the way together. Thank you, Miss **, I appreciate the time you spent helping me today."
"Cincinnati, OH",10/8/2025 0:00,8,"Then, when you try to cancel your service, they tell you, you can't because you owe the amount they are charging you for a phone that you returned under warranty. I have tried for 5 months to resolve this and they said that my case was being investigated and escalated and when I try to resolve it, I am told I need to pay for a phone that was defective and I sent back."
"White Bear Lake, MN","Oct. 8, 2025 I cancelled my whole account in May. Switch to",2,"I cancelled my whole account in May. Switch to ** Half the amount a month. Love it. Starting getting a bill from T-Mobile 160$. They said I didn’t cancel my watch and iPad. What the hell. They blamed it on me. But the representative didn’t canceled it. Why would I keep my watch and iPad when my phone is switch. Do not go to T-Mobile. I have had the runaround. One representative said, ""Sorry it is our fault. No charges."" Got a new bill. The representative said there was no documentation. I was on the phone for a hour. Do not use T-Mobile. Customer service is awful. ** is great."
"Salt Lake City, UT","Oct. 7, 2025 I hope to save people from this company. This is the absolute worst company I have ever been involved with. They will overpromise under deliver every time. They have left me on the phone for hours trying to solve problems and just creating more problems so that I have to spend many more hours on the phone. Thanks jonathan",2,I hope to save people from this company. This is the absolute worst company I have ever been involved with. They will overpromise under deliver every time. They have left me on the phone for hours trying to solve problems and just creating more problems so that I have to spend many more hours on the phone.
"Wichita, KS","Oct. 7, 2025 It",7,I am never late on my payment. The lady decided that she was going to take some off because they always put it as a credit and she was going to charge me again for the same month. I don't know about you T-Mobile anymore and I always feel like somebody's on my phone with me. I don't feel secure and safe with T-Mobile. I think this time around when I'm done paying off the phone I am done with T-Mobile and you know what if you want customers you shouldn't lie to your customers. You should be able to give them a date when they should have their service back on the thing. The customer is Right went out the window with T-Mobile.
"Fort Hood, TX","Oct. 7, 2025 Due to the government shutdown in September 2025, I contacted my phone service provider to request a payment extension. As an active duty soldier, there",2,"Due to the government shutdown in September 2025, I contacted my phone service provider to request a payment extension. As an active duty soldier, there’s no guarantee of receiving pay this month, and I wanted to take proactive steps to avoid financial hardship. Unfortunately, I was informed that no update had been issued to allow extensions for military members. This response was disappointing, especially considering my service to the country. In contrast, my car loan provider approved my extension request without hesitation, recognizing the unique challenges faced by service members during a shutdown. T-Mobile’s refusal to offer similar support has made me reconsider continuing my phone plan with them. It’s disheartening to feel unsupported during a time of need, especially when a simple request for flexibility could make a significant difference."
"Bryan, TX","Oct. 7, 2025 I was a T",7,"He told me I would be getting a text within a couple of weeks telling me how to claim my virtual credit cards for my reimbursements. I got the e-mail but only one card was ready the other one was pending. Two weeks later it was still pending. Finally yesterday it said it had been denied. Be very careful if you switch from to T Mobile from another carrier and make sure you get receipts for everything. Their coverage is still mediocre if you are in a building and try to watch anything, every three minutes it is stopping and buffering. If Verizon wasn't so expensive I would switch back in a heart beat."
"Culver City, CA","Oct. 7, 2025 On the phone with customer service to pull the plug, cancel services, and move to another provider. I signed up for their",3,"On the phone with customer service to pull the plug, cancel services, and move to another provider. I signed up for their ""great service"" only to find out that the area where I live does not have a reliable tower. SOS instead of barlines, ALL THE TIME. Yet, they are charging me full price after promising the discount. I just received a text stating that my discount has been canceled, and I have been unenrolled. What a scam! Stay away from T-Mobile."
"Madera, CA","Oct. 7, 2025 Updated on 11",7,Original: What get me is that I had to settle to pick this company for wifi cause I was with Xfinity but I've move and it doesn't support the area I've move to so I ordered internet and they send me two devices and I had to return one right away and then to come to find out they charge for the device I turn back which I never activate it. They charge me me double and when I talk to them they couldn't fix it and proceed to tell me it's have to pay for it and my bill be credited for the next bill and I find that hard to believe.
"Phoenix, AZ","Oct. 7, 2025 Even though I have auto pay through my debit card and all of my other bills are also paid automatically",7,"Even though I have auto pay through my debit card and all of my other bills are also paid automatically (my payments are always paid on time and my credit rating is over 850!), TWICE T-Mobile suspended my service twice and I incurred re-connection charges and late fees. T-Mobile was unable to give a reason why my service was suspended or why the auto payment was not processed! I hate having to find another provider because I like the wireless router that does not require connection to a phone or internet line."
"Douglasville, GA","Oct. 7, 2025 I",7,"I've been a customer since 2002. I finally pulled the trigger and ordered 2 new iPhone 17s. It's been almost 3 weeks and I still have not received them. I am not home during the day during the week and they shipped them UPS. I have called them several times to let them know they will never be delivered and ask for another means of assistance because no one is there to sign for them. They tell me I have to sign up with UPS My Choice and figure it out with them. All I get from UPS is, ""We attempted to deliver,"" but when we check our cameras for the attempted delivery time no one has even been to the door or left a note but twice. At this time I have zero customer service and I mean ZERO and 2 phones running around town with no way to retrieve them. Searching for a new carrier after 23 years. Worst purchase experience I have ever encountered. I can't wait for the refund debacle."
"Lago Vista, TX","Oct. 7, 2025 I have been with T",7,"Days later and my service is still not disconnected, I have called back 3 different times, each time being told something different. Now I am being told that since the system has generated a new bill already that that they can not disconnect my service and they can not credit my payment to the my remaining balance. I am literally being forced to pay for a phone I am no longer using and also being forced to pay another bill that will generate for a balance on a phone when they can clearly credit this amount with the amount I just paid for a service I am no longer using."
"Phoenix, AZ","Oct. 7, 2025 I",2,"I've been without service for 4 days and nobody can tell me why. Looking for a new provider. Made more than 1 call to T-Mobile over the past 4 days. First call I was told they would credit the account but now that it's been so many days, they say they won't? What is that crap?"
"Indianapolis, IN","Oct. 7, 2025 I should have done some research before switching to T",7,"I should have done some research before switching to T-mobile but here I am. Trusting all the lies on their commercials. Not only they are not clear/transparent on how much the bill is really going to be, it’s also the worst network, you could be passing under a tree and lost signal. Places i that used to have signal now are impossible to connect. I switched a couple months ago and I already regretted it. I can’t no longer use my phone the way I used. I have limited access now."
"Los Angeles, CA","Oct. 6, 2025 Been at T",2,"Been at T-mobile for 6 years. I switched because of multiple price increases in a short amount of time. The cancellation of my plan happened to be on the third day of a billing cycle. The representative I had on the phone told me I would receive a PARTIAL bill, so I decided to cancel that day. Turns out I was charged the full monthly bill of $170 for three days of service. Called T-Mobile once I received the full bill and was told there are no partial bills. Bad customer service. Giving out false information. Phone and internet service itself was fine. I live in an urban area."
"Fremont, CA","Oct. 6, 2025 I",2,"I’ve been trying to get a refund from T-Mobile for my prepaid phone for months with no success. A T-Mobile representative told me I needed to add $100 to refill, which I didn’t know — I could have just added $50 instead. My prepaid balance went from $1000 down to $800 without explanation. I do not want a refill card or credit — I just want my money refunded to my original payment method. I want to keep my phone, but I don’t want the plan to continue until the refund is processed. My money has been sitting in the account unused. I plan to continue paying $50 monthly, but I would like the option to end the plan anytime. I’ve called multiple times, but customer service has not resolved the issue. This has been very frustrating and disappointing. T-Mobile needs to make its prepaid refund process much clearer and more helpful."
"Commerce City, CO","Oct. 6, 2025 I would avoid T",6,"I would avoid T-Mobile, they sell you watches and other products avoid at all costs, they don't tell you everything and expect you to read every line of the forms you sign on the phone while they are talking to you. The price almost doubled on the second bill."
"Tampa, FL","Oct. 5, 2025 Well I just wrote a review and now it",5,"Well I just wrote a review and now it's erased. How is that happening. T-Mobile works with liars the customer service agents are liars. They lie right to your face over the phone while it's being recorded. And because of that I will be looking for another mobile service provider. You're not going to lie to me and it's being recorded. I guess you think you're the only mobile company around huh. I said bye to Sprint, I said bye to Verizon and I will say bye to T-Mobile. Don't lie to me and then think I'm going to still stay a part of your T-Mobile family. Where is your loyalty at with the customers are with your lying customer service agents."
"Denver, CO","Oct. 5, 2025 Never thought a salesperson would just flat out lie to me. Then another would fail to mention a 50 dollar charge that thankfully has since been removed. But nothing is being done about the promotional offer I signed up for and instead now I",5,Never thought a salesperson would just flat out lie to me. Then another would fail to mention a 50 dollar charge that thankfully has since been removed. But nothing is being done about the promotional offer I signed up for and instead now I'm on the hook for 800 dollars. I stayed on the phone for hours trying to figure out what happened. Because I couldn't believe the salesperson just flat out lied. I even asked for a breakdown of my monthly bill before signing a contract. The whole thing was lies.
"Silver Spring, MD","Oct. 5, 2025 Today I went to see about getting a new phone and have prepaid cellphone to get a better phone and the",5,"Today I went to see about getting a new phone and have prepaid cellphone to get a better phone and the ** girl with long hair was being disrespectful when I was asking questions about the sale from T-Mobile and customer service said to go to the store and get the phone you want on the prepaid account. She was laughing and walked away talking about me to the ** lady and the ** guy with curly hair and tell him, ""I got her ass now."" I ask to speak with a mgr about what she did to me and told me to go to Walmart and, ""Get a phone through them not us."" Warrenton road Fredericksburg VA 22406. I was not the only one either."
"Salt Lake City, UT","Oct. 4, 2025 Beware of false advertising and misleading advertising. Salespeople do not tell you all the information you should know when you set up a new account. We set up direct deposit, and when we were in Europe, our service was stopped. We were told that we had not paid our bill, despite our account showing a direct deposit. We had to stop our vacation and attend to our phone bill. More When we returned from our vacation, we were charged extra fees for not paying on time, and then we received another bill stating that we were not set up for direct deposit. When we went into a local store and asked, they said they could see we were on direct deposit. We received the rudest customer service from a young man who sat on top of the sales counter. When I mentioned that T",2,"When we returned from our vacation, we were charged extra fees for not paying on time, and then we received another bill stating that we were not set up for direct deposit. When we went into a local store and asked, they said they could see we were on direct deposit. We received the rudest customer service from a young man who sat on top of the sales counter. When I mentioned that T-Mobile was the worst service we had, he began to laugh and mock us. Does he know that when we pay our bill, we are paying his wages for him to make fun of us in front of other customers and salespeople? We also had issues with dropped calls and not receiving text messages. We changed our service, and now T-Mobile is doing direct deposit and charging us for service we no longer have with them. They have charged us for two months of service that we have not received, as we are currently on Comcast. T-Mobile is not honest, and they steal your hard-earned money. In our case, it's our Social Security money. When I went into the store to inquire about the two months of service charges, I was surrounded by five other customers who were having the same issues. DO NOT use T-Moblie!!"
"Harrisburg, PA","Oct. 4, 2025 Terrible customer service in person and online, both when purchasing and canceling. The customer service representative can",2,"Terrible customer service in person and online, both when purchasing and canceling. The customer service representative can't understand what you want and acts unkindly. I asked to cancel only my home internet connection, and she canceled my cell phone line as well. Lack of competence and understanding."
"Conway, SC","Oct. 3, 2025 They have the worst customer service I have ever dealt with. I cancelled my service in May yet they continued to charge for the watches. Every month for the four months they continued to charge me. Every month I called and they said they would fix it. Four months later they finally cancelled the watches. Then send me a notice that I still owe them money and need to pay immediately or it will be turned over to collections. In another review they called them thieves, that is an accurate representation. Thanks for your vote",3,"They have the worst customer service I have ever dealt with. I cancelled my service in May yet they continued to charge for the watches. Every month for the four months they continued to charge me. Every month I called and they said they would fix it. Four months later they finally cancelled the watches. Then send me a notice that I still owe them money and need to pay immediately or it will be turned over to collections. In another review they called them thieves, that is an accurate representation."
"Los Angeles, CA","Oct. 3, 2025 Probably the worst customer service I",3,"Probably the worst customer service I've ever experienced. I have an Apple Watch that no one wears and I wanted to pay the balance on the account and close the account. When I call customer service, they ask for a PIN, which I don't have. They told me to go to the store. They said there is no other way to verify my account. I have the bill in front of me with my account number and the number on the Apple watch. Made 3 different calls. Still not resolved. I will never work with this company again. I do not recommend T Mobile. ATT and Verizon are bad too, but preferable to this badly run company."
"Tampa, FL","Oct. 3, 2025 Worst company ever. They didn",2,"Worst company ever. They didn’t like that I switched phone carrier in order to save over $150 monthly. So when I left they overcharged me for leaving and continue to raise the amount owed due to “fees”. I called them to clarify my bill so I could pay it, but they couldn’t pull it up. I was sent to a store for clarification. Literally they didn’t not want me switch carriers. They made it very difficult. Also, overcharging."
"Palm Harbor, FL","Oct. 3, 2025 We recently discovered that our 81 year",3,"We recently discovered that our 81 year-old aunt stopped into our local T-Mobile store and was sold $250 Powerbeads Pro 2, stereo earbuds, and two power adapters. When we went to the local store to return the products, because it was beyond 90 days, and even though the products were still unopened, they wouldn’t accept a return. We were advised to call the customer care service, which we did. They also refused to accept the products for a return. It’s a shame that somebody wanted to earn commission money off of an elderly woman that had no need for these products. If you have a solution, **."
"Phoenix, AZ","Oct. 3, 2025 Let me tell you about the T",3,"Let me tell you about the T-Mobile. That is near me, my sales rep junior and the manager Walter, they are phenomenal. They helped me get my transferred over. To help me get my wife I set up. They are phenomenal. They deserve a 10 out of 10 but man even better. They're amazing. They help me get my phone set up. They did not let me leave the store without having phone service. They are amazing. I recommend these people to anybody who wants any info. Get at me but they are phenomenal. People junior and the assistant manager. They are amazing."
"San Antonio, TX","Oct. 3, 2025 When I switched from AT",3,"When I switched from AT&T was told that I was going to receive a $200 prepaid gift card. Come to find out that promotion ended a month before, so the salesman didn’t know what he was talking about. To me, that’s fraud, just so you can switch over and get credit for the sale. He pretty much lied and now nothing is being received. I would have stayed with ATT in that case, plus T-Mobile service is spotty and doesn’t - work when needed. I should have stayed with ATT the service was much better."
"Plano, TX",10/2/2025 0:00,2,"🚨 Warning about T-Mobile 🚨 Watch out, people! T-Mobile adds charges and even extra lines to accounts without consent. I was billed for 18 months for two lines I never requested. When I raised the issue, customer service was rude, unprofessional, and blamed me instead of taking responsibility. They refused to issue credits for their mistake. This is fraud and terrible customer service—protect yourself and double-check your bills!"
"Crawley, WV",10/2/2025 0:00,3,"I thought that would be the end of it after I sent them a check, but every customer service call I made and the employees at the store were all told different things. Long story short, one of the girls at the store who called on my behalf, got hung up on. That’s right- company big shot hung up on her even. I have never been exposed to a company like T-Mobile. They don’t treat their own employees well, much less their customers. I never even had an account with them. I would love to sue them for about a million dollars for all the turmoil they have caused me, and get the girls at the local store to sue them as well. I am still considering that option. They are sooooo corrupt. Do NOT get mixed up with them. Please!!!"
"Tucson, AZ","Oct. 2, 2025 PLEASE do not believe the commercials",3,"After several long and chaotic conversations with agents over an extended time, my ""bill"" was ""paid in full."" Ridiculous! No, it gets better....I continue to receive bills for $6 with a ""sorry to see you go"" on the bill. T-Mobile continues to harass me for service I NEVER used. DO NOT SIGN UP! I recommend all dissatisfied customers complete a BBB report because I do believe a class action suit is in order based upon similar experiences with family members and friends."
"San Diego, CA","Oct. 1, 2025 1. I attempted to move my Wireless service from AT",1,"2. Approx 1 month later, T-Mobile sent me a bill for $80.57 demanding payment for an outstanding balance, for a service they never provided!! Since T-Mobile did not provide service. (My phone was never on their network). The action to charge $80.57 for services not rendered is Fraudulent Billing in the strict legal sense of the word. 3. On the same day, that I received the demand letter for $80.57, I started receiving text messages (on my AT&T number) from a Credit collection agency attempting to falsely collect the $80.57. 4. I have contacted T-Mobile customer service and complained about the fraudulent billing and the subsequent false claim by the credit collection agency. Save yourself a lot of trouble, wasted time and frustration and select a different Wireless Carrier."
"Portland, OR","Oct. 1, 2025 I started a new phone and internet plan with T",1,I called immediately and told T-Mobile this was not the deal I agreed to and wanted to return everything. I was told to return all the equipment to a T-Mobile store immediately because I was still within my buyer's remorse period. Once I returned the equipment I was told that I still owed $230.00 for the usage. I did use the internet but never even used the two phone. I argued that THEY didn't hold up their end of the deal and felt I should be compensated for my ordeal. I told him I would not pay a single cent. He said that it would be sent to a collection agency. How SLEAZY!
"Phoenix, AZ","Oct. 1, 2025 We went to the store",1,We went to the store #3431 and was received by employees Junior and Walter. They were helpful and willing to go the extra mile to assist us. Excellent customer service and professionalism. Thanks T-Mobile!
